yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6856,aeronautica_6869,aeronautica_6893,lazio_289,marche_25,sicilia_11812,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919
1981,18.96,19.25,4.27,10.29,23.93,0.29999999999999716,0.759999999999998,2.2699999999999996,7.970000000000001,-7.199999999999989,11.849999999999994,23.25,15.239999999999995,NA,27.03,18.25,17.459999999999994,21.42,28.93,27.03,36.62,10.329999999999998,28.79,0.120000000000001,15.729999999999997,16.71,25.48,26.54,17.57,22.120000000000005,19.83,-2.1699999999999875,NA,30.409999999999997,NA,17.75,2.62,-0.14000000000000057,-1.59,-0.54,6.12,13.9,23,NA,6,-22.379999999999995,-11.180000000000007,9.559999999999999
1982,NA,1.25,-3.73,-6.710000000000001,7.93,0.29999999999999716,-13.240000000000002,4.27,-11.03,0.8000000000000114,4.849999999999994,19.25,-14.760000000000005,3.3499999999999943,5.030000000000001,-0.75,-8.540000000000006,-6.579999999999998,-10.07,-1.9699999999999989,3.6199999999999974,4.329999999999998,-2.210000000000001,-6.879999999999999,-10.270000000000003,-9.29,-0.5199999999999996,-6.460000000000001,1.5700000000000003,-9.879999999999995,0.8299999999999983,-1.1699999999999875,-0.84,3.4099999999999966,-8.11,-6.25,-4.38,-9.14,-0.5900000000000001,-0.54,1.12,-1.0999999999999996,NA,-0.31,-1,-1.3799999999999955,3.819999999999993,-2.4400000000000004
1983,6.960000000000001,5.25,-2.73,2.289999999999999,3.9299999999999997,21.299999999999997,NA,NA,0.9700000000000006,-5.199999999999989,0.8499999999999943,6.25,-15.760000000000005,NA,10.030000000000001,5.25,10.459999999999994,11.420000000000002,12.93,28.03,22.619999999999997,3.3299999999999983,12.79,-4.879999999999999,7.729999999999997,4.710000000000001,0.4800000000000004,-1.4600000000000009,-10.43,-8.879999999999995,-10.170000000000002,-1.1699999999999875,-0.84,2.4099999999999966,-2.1099999999999994,1.75,-1.38,-9.14,0.4099999999999999,-0.54,17.12,5.9,-3,-0.31,-1,-14.379999999999995,-5.180000000000007,NA
1984,-0.03999999999999915,5.25,-3.73,-13.71,-14.07,5.299999999999997,-19.240000000000002,-3.7300000000000004,-5.029999999999999,11.800000000000011,3.8499999999999943,28.25,3.239999999999995,NA,5.030000000000001,10.25,0.45999999999999375,5.420000000000002,-3.0700000000000003,-5.969999999999999,-5.380000000000003,-0.6700000000000017,NA,-13.879999999999999,-2.270000000000003,10.71,-0.5199999999999996,8.54,-17.43,-14.879999999999995,5.829999999999998,2.8300000000000125,-0.84,-8.590000000000003,-4.109999999999999,-3.25,-0.3799999999999999,-16.14,-1.59,-0.54,-0.8799999999999999,-1.0999999999999996,-10,-0.31,-1,11.620000000000005,17.819999999999993,0.5599999999999996
1985,0.9600000000000009,4.25,NA,0.28999999999999915,8.93,17.299999999999997,5.759999999999998,NA,6.970000000000001,11.800000000000011,0.8499999999999943,14.25,-1.7600000000000051,4.349999999999994,8.030000000000001,7.25,-0.5400000000000063,5.420000000000002,0.9299999999999997,3.030000000000001,1.6199999999999974,7.329999999999998,4.789999999999999,0.120000000000001,-1.2700000000000031,17.71,10.48,-1.4600000000000009,4.57,-12.879999999999995,5.829999999999998,6.8300000000000125,7.16,-1.5900000000000034,NA,NA,-2.38,-4.140000000000001,3.41,-0.54,-4.88,6.9,-8,-0.31,-1,0.6200000000000045,4.819999999999993,1.5599999999999996
1986,10.96,3.25,1.27,-12.71,8.93,-6.700000000000003,11.759999999999998,-3.7300000000000004,-4.029999999999999,-2.1999999999999886,8.849999999999994,20.25,14.239999999999995,13.349999999999994,11.030000000000001,-1.75,8.459999999999994,6.420000000000002,4.93,15.030000000000001,5.6199999999999974,4.329999999999998,NA,NA,11.729999999999997,6.710000000000001,0.4800000000000004,5.539999999999999,11.57,NA,10.829999999999998,18.830000000000013,1.1600000000000001,-6.590000000000003,-3.1099999999999994,-0.25,-0.3799999999999999,-13.14,-1.59,-0.54,0.1200000000000001,3.9000000000000004,-7,-0.31,1,-2.3799999999999955,-13.180000000000007,-0.4400000000000004
1987,0.9600000000000009,2.25,7.27,-4.710000000000001,13.93,3.299999999999997,21.759999999999998,-1.7300000000000004,9.97,-16.19999999999999,-7.150000000000006,27.25,NA,0.3499999999999943,-3.969999999999999,9.25,-2.5400000000000063,10.420000000000002,NA,13.030000000000001,14.619999999999997,9.329999999999998,12.79,NA,-2.270000000000003,7.710000000000001,13.48,10.54,18.57,-8.879999999999995,-1.1700000000000017,4.8300000000000125,0.16000000000000003,3.4099999999999966,2.8900000000000006,5.75,3.62,-2.1400000000000006,2.41,2.46,3.12,-2.0999999999999996,-2,0.69,3,-9.379999999999995,NA,-4.44
1988,NA,NA,NA,NA,-3.0700000000000003,-5.700000000000003,-24.240000000000002,-3.7300000000000004,0.9700000000000006,-7.199999999999989,NA,NA,NA,7.349999999999994,-7.969999999999999,32.25,-0.5400000000000063,-6.579999999999998,NA,NA,-1.3800000000000026,-20.67,1.7899999999999991,-4.879999999999999,-15.270000000000003,NA,-7.52,NA,-3.4299999999999997,6.1200000000000045,5.829999999999998,4.8300000000000125,NA,NA,NA,NA,NA,NA,NA,NA,1.12,-4.1,1,-0.31,0,NA,-11.180000000000007,NA
1989,11.96,-0.75,-3.73,-9.71,5.93,4.299999999999997,-10.240000000000002,8.27,-7.029999999999999,-15.199999999999989,-14.150000000000006,-12.75,-9.760000000000005,-27.650000000000006,-20.97,-15.75,1.4599999999999937,7.420000000000002,2.9299999999999997,6.030000000000001,7.6199999999999974,1.3299999999999983,4.789999999999999,11.120000000000001,7.729999999999997,-20.29,-16.52,-22.46,-8.43,-13.879999999999995,-12.170000000000002,-10.169999999999987,-0.84,4.409999999999997,4.890000000000001,-8.25,-4.38,-13.14,-1.59,-0.54,3.12,-2.0999999999999996,8,0.69,-1,-30.379999999999995,-21.180000000000007,-5.44
1990,-5.039999999999999,-6.75,-3.73,-11.71,2.9299999999999997,-22.700000000000003,-12.240000000000002,NA,-8.03,-7.199999999999989,-19.150000000000006,-7.75,-0.7600000000000051,-13.650000000000006,-7.969999999999999,-5.75,2.4599999999999937,5.420000000000002,NA,0.030000000000001137,-3.3800000000000026,-2.6700000000000017,-2.210000000000001,0.120000000000001,-7.270000000000003,-10.29,-11.52,-14.46,-1.4299999999999997,-1.8799999999999955,-7.170000000000002,-11.169999999999987,-0.84,-1.5900000000000034,-6.109999999999999,-3.25,-3.38,-13.14,-1.59,-0.54,-4.88,-2.0999999999999996,0,-0.31,NA,-34.379999999999995,-29.180000000000007,-4.44
