yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6865;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6919;aeronautica_6922
2009;0;7;30;7;17;NA;NA;88;25;1;9;34;12;27;47;67;16;34;NA;13;37;29;42;77;14;3;44;8;NA;95;86;65;93;109;108;51;40;99;107;52;27;32;44;59;37;84
2010;1;6;34;15;20;3;20;71;21;1;17;32;17;27;35;46;19;21;8;11;24;16;NA;57;12;5;29;23;NA;89;75;64;66;105;85;65;26;96;104;49;27;48;65;49;19;75
2011;1;6;30;6;16;4;36;74;16;0;10;19;7;15;45;54;16;28;5;9;36;31;44;59;7;4;20;0;NA;99;84;78;79;104;110;24;17;100;92;41;26;47;76;55;24;79
2012;0;16;48;18;34;7;41;86;26;1;14;37;6;56;49;66;24;39;19;16;55;46;57;59;11;10;40;20;NA;97;93;80;108;112;114;64;25;102;103;66;57;49;41;77;54;84
2013;1;11;26;10;25;1;15;73;22;0;10;24;9;41;37;46;18;14;1;18;23;18;NA;54;4;5;16;12;NA;89;85;66;87;107;95;51;22;103;103;49;26;47;38;51;14;59
2014;1;6;14;4;3;2;14;44;5;0;2;12;1;13;16;24;NA;10;2;6;12;NA;14;29;3;3;13;4;NA;75;89;53;81;119;107;44;15;106;115;NA;NA;48;37;NA;32;69
2015;10;32;43;29;30;10;41;74;38;1;25;43;37;32;44;54;NA;NA;16;26;40;34;49;61;18;10;50;27;NA;98;93;66;82;91;105;61;35;98;97;69;53;NA;NA;NA;49;76
2016;0;3;25;10;18;1;23;NA;18;0;8;26;NA;13;28;47;13;NA;5;8;24;12;31;48;8;6;23;28;NA;72;92;74;73;NA;105;33;10;87;106;50;NA;46;32;47;11;63
2017;2;NA;42;21;13;7;39;77;33;6;21;39;NA;23;37;56;19;NA;17;26;44;31;NA;67;13;8;37;28;NA;83;88;73;86;98;104;39;39;86;NA;59;42;33;42;60;41;79
2018;3;NA;33;7;18;0;22;NA;21;0;10;30;22;19;41;52;NA;40;3;22;36;14;33;80;11;13;25;35;NA;91;113;86;104;137;107;56;32;93;NA;58;32;58;22;47;31;80
2019;5;15;49;13;33;1;30;82;30;0;21;NA;19;28;53;58;25;50;8;30;42;36;40;73;9;13;32;59;NA;108;111;80;110;112;121;54;42;99;118;73;43;49;71;73;54;80
2020;3;11;48;15;19;2;27;58;23;0;12;22;11;14;30;NA;NA;35;10;27;33;27;32;63;7;9;44;9;39;87;93;72;89;NA;102;67;42;90;109;68;12;55;63;61;38;74
