yy;aeronautica_6803;aeronautica_6817;aeronautica_6893;lazio_240;lazio_289;marche_701;sicilia_11883;sicilia_11933;toscana_55;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_176;bolzano_39;lazio_388;marche_703;trentino_6511;trentino_6564;trentino_6639;trentino_6640;aeronautica_6769;aeronautica_6773;aeronautica_6782;aeronautica_6794;aeronautica_6826;aeronautica_6827;aeronautica_6834;aeronautica_6851;emiliaromagna_12702;emiliaromagna_14246;marche_104;marche_110;marche_123;marche_25;toscana_72;toscana_78;aeronautica_6707;aeronautica_6709;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6779;aeronautica_6797;bolzano_203;marche_108;marche_109;marche_605;marche_608;toscana_25;toscana_76;trentino_6509;aeronautica_6691;aeronautica_6692;bolzano_223;bolzano_94;aeronautica_6771;aeronautica_6856;aeronautica_6869;lazio_276;aeronautica_6919;aeronautica_6923
1991;6;33;4;0;37;NA;0;NA;NA;168;108;103;124;128;NA;103;130;NA;188;NA;51;43;29;40;39;26;19;22;52;43;38;38;31;39;24;20;89;46;76;71;NA;74;NA;NA;58;72;48;104;NA;41;48;29;72;65;86;207;NA;163;193;3;2;2;0;9;5
1992;1;12;4;0;17;4;NA;0;11;160;108;108;125;120;133;85;NA;NA;168;155;34;15;21;19;24;14;20;16;36;24;25;32;19;13;6;8;69;19;44;67;73;55;74;57;41;54;23;106;NA;24;34;20;44;36;NA;178;182;138;180;0;0;0;0;5;0
1993;5;19;4;7;31;3;0;3;30;144;119;101;130;119;117;103;NA;NA;NA;NA;57;37;34;40;43;16;21;32;26;25;26;49;35;27;17;12;98;38;69;87;82;77;85;76;58;74;42;115;65;42;48;29;63;56;100;164;167;142;168;2;3;1;3;4;8
1994;1;3;0;0;0;0;0;0;13;146;72;94;98;94;55;74;97;90;131;124;25;14;13;15;18;7;10;18;8;9;11;15;19;NA;8;5;67;22;32;44;45;32;44;36;22;40;18;80;20;20;27;NA;48;0;NA;159;164;135;161;0;1;0;0;1;2
1995;1;16;4;1;NA;0;0;NA;8;169;113;118;130;126;146;104;NA;122;159;151;33;26;NA;24;36;14;12;15;21;NA;19;10;30;27;7;10;75;44;41;65;64;49;63;52;34;67;38;95;32;35;51;NA;71;33;NA;180;185;142;177;0;0;0;0;12;7
1996;7;12;2;5;NA;10;NA;NA;23;137;108;115;116;120;125;NA;NA;118;156;137;38;23;31;21;43;8;18;26;27;13;23;26;34;24;NA;14;69;61;35;61;57;58;65;51;44;55;37;94;35;42;54;24;65;48;105;NA;192;148;173;2;2;0;4;3;3
1997;0;0;0;0;NA;3;0;NA;5;158;117;110;122;114;128;64;126;106;163;156;19;6;NA;0;20;0;16;21;8;4;1;8;9;3;NA;0;50;18;25;45;48;40;45;36;26;12;3;89;45;32;49;0;35;29;83;NA;185;163;190;1;0;0;NA;NA;0
1998;1;9;1;1;NA;3;0;1;14;157;NA;117;123;117;133;NA;120;111;149;160;31;28;25;18;31;7;14;21;13;16;20;18;28;NA;NA;12;72;36;43;69;66;NA;NA;NA;46;57;25;101;63;48;NA;NA;49;40;99;NA;NA;175;172;0;0;NA;NA;13;7
1999;NA;NA;7;NA;5;NA;3;2;20;NA;NA;NA;130;127;133;NA;133;NA;162;149;NA;NA;NA;NA;NA;16;NA;NA;23;16;23;24;19;NA;NA;NA;85;NA;58;NA;NA;NA;NA;NA;63;NA;30;106;51;37;NA;NA;68;57;111;NA;NA;169;167;NA;NA;NA;2;NA;NA
2000;NA;NA;6;4;3;4;0;0;NA;NA;NA;NA;98;110;107;NA;102;94;155;132;NA;NA;NA;NA;11;0;4;1;12;19;16;21;11;6;NA;10;61;NA;44;NA;33;NA;66;NA;44;NA;NA;80;36;28;48;13;NA;28;81;171;165;157;142;0;NA;NA;NA;NA;0
