yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1992,-1.62,-3.62,-5.88,-2.39,4.37,NA,-4.14,-4.92,0.6900000000000004,-2.88,3.04,2.12,-3.24,-5.88,-4.17,NA,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,-3.62,-4.92,-5.86,-4.34,-5.42,-5.07,NA,NA,-3.5,2.5199999999999996,2.93,-3.89,-3.65,3.24,-5.41,-5.61,-1.9,3.3899999999999997,-2.96,1.96,-1.93,-2.75,-4,-3.66,-5.59,0.8600000000000003,NA,-6.48,-5.5,-2.81,8.04
1993,7.38,2.38,0.1200000000000001,-2.39,10.370000000000001,-2.73,-4.14,-4.92,0.6900000000000004,-2.88,2.04,-3.88,2.76,1.12,1.83,NA,3.29,4.12,2.04,-3.62,2.71,2.13,-3.62,NA,0.13999999999999968,1.6600000000000001,6.58,0.9299999999999997,-4.08,NA,NA,-6.48,2.93,-3.89,-3.65,-2.76,-5.41,0.3899999999999997,4.1,6.39,-2.96,8.96,-1.93,3.25,21,2.34,-5.59,19.86,9.81,-0.4800000000000004,0.5,-2.81,2.04
1994,-1.62,-3.62,-5.88,-2.39,3.37,-2.73,-4.14,-4.92,-5.31,-2.88,3.04,-3.88,-3.24,14.120000000000001,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,8.129999999999999,3.38,NA,0.13999999999999968,2.66,0.5800000000000001,7.93,NA,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,-2.76,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,-4,NA,-5.59,-5.14,10.81,-6.48,-5.5,-2.81,-3.96
1995,4.38,8.379999999999999,-5.88,-2.39,3.37,4.27,-4.14,-4.92,-5.31,-2.88,-3.96,2.12,-3.24,0.1200000000000001,-4.17,NA,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,2.38,-4.92,-5.86,NA,0.5800000000000001,0.9299999999999997,NA,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,4.24,-5.41,9.39,-1.9,13.39,-2.96,-4.04,-1.93,-2.75,NA,-3.66,1.4100000000000001,14.86,NA,-6.48,-5.5,-2.81,-3.96
1996,4.38,2.38,-5.88,3.61,3.37,-2.73,7.86,1.08,NA,-2.88,-3.96,2.12,-3.24,-5.88,2.83,NA,-2.71,-1.88,-3.96,2.38,2.71,16.13,NA,1.08,-5.86,1.6600000000000001,0.5800000000000001,6.93,-4.08,-1.21,-3.5,1.5199999999999996,-3.07,-3.89,-3.65,3.24,-5.41,-5.61,4.1,0.3899999999999997,-2.96,-4.04,-1.93,-2.75,NA,-3.66,6.41,-5.14,-8.19,NA,6.5,-2.81,2.04
1997,-1.62,-3.62,-5.88,-2.39,3.37,-2.73,-4.14,-4.92,NA,-2.88,-3.96,-3.88,-3.24,-5.88,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,3.13,-3.62,-4.92,-5.86,NA,-5.42,1.9299999999999997,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,2.35,-2.76,-5.41,-5.61,5.1,0.3899999999999997,-2.96,1.96,-1.93,-2.75,NA,-3.66,2.41,6.86,-1.1899999999999995,NA,-5.5,NA,-3.96
1998,-1.62,-3.62,0.1200000000000001,-2.39,-2.63,-2.73,-4.14,-4.92,NA,-2.88,NA,12.120000000000001,2.76,8.120000000000001,1.83,-6.57,-2.71,-1.88,2.04,NA,-3.29,-3.87,4.38,-4.92,-5.86,1.6600000000000001,7.58,7.93,1.92,-1.21,2.5,19.52,-3.07,-3.89,-3.65,-2.76,1.5899999999999999,2.3899999999999997,-1.9,NA,4.04,3.96,-1.93,-2.75,NA,NA,1.4100000000000001,10.86,0.8100000000000005,NA,NA,-2.81,-3.96
1999,NA,-3.62,NA,NA,-2.63,-2.73,-4.14,NA,NA,NA,NA,NA,-3.24,0.1200000000000001,-4.17,-6.57,-2.71,10.120000000000001,NA,NA,-3.29,3.13,-3.62,2.08,NA,NA,NA,1.9299999999999997,-4.08,NA,-3.5,NA,NA,NA,-3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,9.86,-2.1899999999999995,NA,NA,NA,NA
2000,NA,NA,NA,-2.39,-2.63,-2.73,-4.14,-4.92,NA,NA,NA,NA,-3.24,0.1200000000000001,NA,-6.57,5.29,6.12,NA,NA,3.71,-3.87,-3.62,-4.92,NA,NA,0.5800000000000001,-5.07,3.92,0.79,-3.5,-0.4800000000000004,NA,NA,-3.65,-2.76,NA,NA,NA,NA,-2.96,-4.04,NA,-2.75,-4,2.34,1.4100000000000001,0.8600000000000003,-8.19,0.5199999999999996,1.5,NA,NA
2001,-1.62,NA,NA,-2.39,NA,-2.73,1.8600000000000003,NA,NA,-2.88,NA,-3.88,2.76,-5.88,NA,5.43,11.29,7.12,-3.96,3.38,-3.29,2.13,4.38,2.08,-5.86,1.6600000000000001,-5.42,0.9299999999999997,-4.08,-7.21,6.5,-6.48,-3.07,-3.89,NA,-2.76,NA,-5.61,-1.9,-5.61,-2.96,-4.04,NA,-2.75,-4,-3.66,-5.59,-5.14,-8.19,NA,NA,-2.81,7.04
